elapsed_us,rss_bytes,vsize_bytes,minor_faults,major_faults,read_bytes,available_bytes,thread_count,process_cpu_pct,system_user_ticks,system_system_ticks,system_idle_ticks,system_iowait_ticks,thermal_json,frequency_json
6193,131072,3547136,15,1,393216,7813509120,1,0.0,2515175,396233,10158900,25630,"{""thermal_zone0"": 39000, ""thermal_zone1"": 40000}","{""cpu0"": 1600000, ""cpu1"": 1600000, ""cpu2"": 1600000, ""cpu3"": 1600000, ""cpu4"": 1600000, ""cpu5"": 1600000, ""cpu6"": 1600000, ""cpu7"": 1600000}"
126538,6684672,5005656064,320,48,5140480,7814356992,1,33.237888520587234,2515178,396237,10158983,25636,"{""thermal_zone0"": 39000, ""thermal_zone1"": 40000}","{""cpu0"": 1600000, ""cpu1"": 1600000, ""cpu2"": 1600000, ""cpu3"": 1600000, ""cpu4"": 1600000, ""cpu5"": 1600000, ""cpu6"": 1600000, ""cpu7"": 1600000}"
242509,9830400,5005656064,323,97,11431936,7814168576,1,17.24562173329122,2515179,396241,10159061,25646,"{""thermal_zone0"": 38000, ""thermal_zone1"": 39000}","{""cpu0"": 1600000, ""cpu1"": 1600000, ""cpu2"": 1600000, ""cpu3"": 1600000, ""cpu4"": 1600000, ""cpu5"": 1600000, ""cpu6"": 1600000, ""cpu7"": 1600000}"
358301,12976128,5005656064,326,145,17723392,7814295552,1,8.636208698854029,2515180,396243,10159140,25655,"{""thermal_zone0"": 38000, ""thermal_zone1"": 39000}","{""cpu0"": 1600000, ""cpu1"": 1600000, ""cpu2"": 1600000, ""cpu3"": 1600000, ""cpu4"": 1600000, ""cpu5"": 1600000, ""cpu6"": 1600000, ""cpu7"": 1600000}"
474059,16121856,5005656064,328,192,24014848,7813988352,1,17.277447023611177,2515182,396246,10159218,25665,"{""thermal_zone0"": 39000, ""thermal_zone1"": 38000}","{""cpu0"": 1600000, ""cpu1"": 1600000, ""cpu2"": 1600000, ""cpu3"": 1600000, ""cpu4"": 1600000, ""cpu5"": 1600000, ""cpu6"": 1600000, ""cpu7"": 1600000}"
589905,19136512,5005656064,330,240,30289920,7813795840,1,17.264266816757598,2515183,396248,10159296,25675,"{""thermal_zone0"": 38000, ""thermal_zone1"": 39000}","{""cpu0"": 1600000, ""cpu1"": 1600000, ""cpu2"": 1600000, ""cpu3"": 1600000, ""cpu4"": 1600000, ""cpu5"": 1600000, ""cpu6"": 1600000, ""cpu7"": 1600000}"
705515,22282240,5005656064,333,288,36581376,7813926912,1,17.29959588057525,2515184,396251,10159375,25685,"{""thermal_zone0"": 39000, ""thermal_zone1"": 39000}","{""cpu0"": 1600000, ""cpu1"": 1600000, ""cpu2"": 1600000, ""cpu3"": 1600000, ""cpu4"": 1600000, ""cpu5"": 1600000, ""cpu6"": 1600000, ""cpu7"": 1600000}"
821221,26738688,5005656064,375,340,42831872,7813971968,1,17.28509331132918,2515187,396254,10159453,25693,"{""thermal_zone0"": 38000, ""thermal_zone1"": 38000}","{""cpu0"": 1600000, ""cpu1"": 1600000, ""cpu2"": 1600000, ""cpu3"": 1600000, ""cpu4"": 1600000, ""cpu5"": 1600000, ""cpu6"": 1600000, ""cpu7"": 1600000}"
936526,32899072,5008654336,1385,367,44654592,7809548288,1,86.7269321711092,2515196,396256,10159533,25694,"{""thermal_zone0"": 39000, ""thermal_zone1"": 39000}","{""cpu0"": 1600000, ""cpu1"": 1600000, ""cpu2"": 1600000, ""cpu3"": 1600000, ""cpu4"": 1600000, ""cpu5"": 1600000, ""cpu6"": 1600000, ""cpu7"": 1600000}"
1051578,36192256,5012144128,2329,367,44654592,7806193664,1,95.60833375082305,2515208,396258,10159612,25694,"{""thermal_zone0"": 39000, ""thermal_zone1"": 40000}","{""cpu0"": 1600000, ""cpu1"": 1600000, ""cpu2"": 1600000, ""cpu3"": 1600000, ""cpu4"": 1600000, ""cpu5"": 1600000, ""cpu6"": 1600000, ""cpu7"": 1600000}"
1166386,39731200,5015523328,3184,367,44654592,7802839040,1,104.52272441616873,2515219,396259,10159691,25694,"{""thermal_zone0"": 39000, ""thermal_zone1"": 40000}","{""cpu0"": 1600000, ""cpu1"": 1600000, ""cpu2"": 1600000, ""cpu3"": 1600000, ""cpu4"": 1600000, ""cpu5"": 1600000, ""cpu6"": 1600000, ""cpu7"": 1600000}"
1281672,46501888,5022355456,5003,367,44654592,7795871744,1,95.41455516424601,2515231,396260,10159770,25694,"{""thermal_zone0"": 39000, ""thermal_zone1"": 39000}","{""cpu0"": 1600000, ""cpu1"": 1600000, ""cpu2"": 1600000, ""cpu3"": 1600000, ""cpu4"": 1600000, ""cpu5"": 1600000, ""cpu6"": 1600000, ""cpu7"": 1600000}"
1396723,50171904,5026029568,5893,367,44654592,7792259072,1,104.30230493317742,2515243,396261,10159849,25694,"{""thermal_zone0"": 39000, ""thermal_zone1"": 39000}","{""cpu0"": 1600000, ""cpu1"": 1600000, ""cpu2"": 1600000, ""cpu3"": 1600000, ""cpu4"": 1600000, ""cpu5"": 1600000, ""cpu6"": 1600000, ""cpu7"": 1600000}"
1511361,54366208,5030252544,6927,367,44654592,7788130304,1,95.95394991992382,2515254,396263,10159927,25694,"{""thermal_zone0"": 39000, ""thermal_zone1"": 39000}","{""cpu0"": 1600000, ""cpu1"": 1600000, ""cpu2"": 1600000, ""cpu3"": 1600000, ""cpu4"": 1600000, ""cpu5"": 1600000, ""cpu6"": 1600000, ""cpu7"": 1600000}"
