policy,capacity,requests,unique,hits,loads,evictions,reload_events,load_bytes,reload_bytes,hit_rate
lru,4194304,1824,283,896,928,925,645,750665728,516276224,0.49122807017543857
min,4194304,1824,283,903,921,917,638,745588736,511199232,0.49506578947368424
lru,6291456,1824,283,896,928,922,645,750665728,516276224,0.49122807017543857
min,6291456,1824,283,914,910,904,627,737551360,503161856,0.5010964912280702
lru,8388608,1824,283,896,928,920,645,750665728,516276224,0.49122807017543857
min,8388608,1824,283,928,896,887,613,729744384,495354880,0.5087719298245614
lru,10485760,1824,283,896,928,919,645,750665728,516276224,0.49122807017543857
min,10485760,1824,283,938,886,875,603,723319808,488930304,0.5142543859649122
lru,12582912,1824,283,896,928,916,645,750665728,516276224,0.49122807017543857
min,12582912,1824,283,948,876,862,593,716665856,482276352,0.5197368421052632
lru,16777216,1824,283,896,928,911,645,750665728,516276224,0.49122807017543857
min,16777216,1824,283,958,866,848,583,705139712,470750208,0.5252192982456141
lru,25165824,1824,283,896,928,898,645,750665728,516276224,0.49122807017543857
min,25165824,1824,283,994,830,804,547,679049216,444659712,0.5449561403508771
lru,33554432,1824,283,896,928,890,645,750665728,516276224,0.49122807017543857
min,33554432,1824,283,1021,803,768,520,654313472,419923968,0.5597587719298246
