policy,capacity,requests,unique,hits,loads,evictions,reload_events,load_bytes,reload_bytes,hit_rate
lru,4194304,684,102,336,348,345,246,283414528,198818816,0.49122807017543857
min,4194304,684,102,343,341,337,239,278337536,193741824,0.5014619883040936
lru,6291456,684,102,336,348,342,246,283414528,198818816,0.49122807017543857
min,6291456,684,102,354,330,322,228,270367744,185772032,0.5175438596491229
lru,8388608,684,102,336,348,340,246,283414528,198818816,0.49122807017543857
min,8388608,684,102,369,315,306,213,261434368,176838656,0.5394736842105263
lru,10485760,684,102,336,348,339,246,283414528,198818816,0.49122807017543857
min,10485760,684,102,380,304,292,202,253883392,169287680,0.5555555555555556
lru,12582912,684,102,336,348,336,246,283414528,198818816,0.49122807017543857
min,12582912,684,102,390,294,279,192,247229440,162633728,0.5701754385964912
lru,16777216,684,102,336,348,331,246,283414528,198818816,0.49122807017543857
min,16777216,684,102,400,284,265,182,235703296,151107584,0.5847953216374269
lru,25165824,684,102,336,348,318,246,283414528,198818816,0.49122807017543857
min,25165824,684,102,436,248,221,146,209612800,125017088,0.6374269005847953
lru,33554432,684,102,336,348,310,246,283414528,198818816,0.49122807017543857
min,33554432,684,102,463,221,185,119,184877056,100281344,0.6769005847953217
