2aca962000-3fdc574000 ---p 00000000 00:00 0                              [rollup]
Rss:               18796 kB
Pss:               17676 kB
Pss_Dirty:         13360 kB
Pss_Anon:          13360 kB
Pss_File:           4316 kB
Pss_Shmem:             0 kB
Shared_Clean:       1324 kB
Shared_Dirty:          0 kB
Private_Clean:      4112 kB
Private_Dirty:     13360 kB
Referenced:        18796 kB
Anonymous:         13360 kB
KSM:                   0 kB
LazyFree:              0 kB
AnonHugePages:         0 kB
ShmemPmdMapped:        0 kB
FilePmdMapped:         0 kB
Shared_Hugetlb:        0 kB
Private_Hugetlb:       0 kB
Swap:                  0 kB
SwapPss:               0 kB
Locked:                0 kB
