AnonHugePages,Anonymous,FilePmdMapped,KSM,KernelPageSize,LazyFree,Locked,MMUPageSize,Private_Clean,Private_Dirty,Private_Hugetlb,Pss,Pss_Dirty,Referenced,Rss,Shared_Clean,Shared_Dirty,Shared_Hugetlb,ShmemPmdMapped,Size,Swap,SwapPss,THPeligible,VmFlags,dev,end,inode,kind,offset,path,perms,phase,size_bytes,start
0,28278784,0,0,4096,0,0,4096,0,28278784,0,28278784,28278784,28278784,28278784,0,0,0,0,28659712,0,0,0,rd wr mr mw me ac,00:00,183816232960,0,gguf,0,[heap],rw-p,TOKENIZER_END,28659712,183787573248
0,28327936,0,0,4096,0,0,4096,0,28327936,0,28327936,28327936,28327936,28327936,0,0,0,0,28659712,0,0,0,rd wr mr mw me ac,00:00,183816232960,0,gguf,0,[heap],rw-p,MODEL_STRUCTURE_READY,28659712,183787573248
0,12079104,0,0,4096,0,0,4096,0,12079104,0,12079104,12079104,12079104,12079104,0,0,0,0,4997521408,0,0,0,rd wr mr mw me ac,00:00,273431650304,0,gguf,0,,rw-p,MODEL_STRUCTURE_READY,4997521408,268434128896
0,28327936,0,0,4096,0,0,4096,0,28327936,0,28327936,28327936,28327936,28327936,0,0,0,0,28659712,0,0,0,rd wr mr mw me ac,00:00,183816232960,0,gguf,0,[heap],rw-p,BACKEND_BUFFER_ALLOCATION_BEGIN,28659712,183787573248
0,14700544,0,0,4096,0,0,4096,0,14700544,0,14700544,14700544,14700544,14700544,0,0,0,0,4997521408,0,0,0,rd wr mr mw me ac,00:00,273431650304,0,gguf,0,,rw-p,BACKEND_BUFFER_ALLOCATION_BEGIN,4997521408,268434128896
0,28327936,0,0,4096,0,0,4096,0,28327936,0,28327936,28327936,28327936,28327936,0,0,0,0,28659712,0,0,0,rd wr mr mw me ac,00:00,183816232960,0,gguf,0,[heap],rw-p,BACKEND_BUFFER_ALLOCATION_END,28659712,183787573248
0,17321984,0,0,4096,0,0,4096,0,17321984,0,17321984,17321984,17321984,17321984,0,0,0,0,4997521408,0,0,0,rd wr mr mw me ac,00:00,273431650304,0,gguf,0,,rw-p,BACKEND_BUFFER_ALLOCATION_END,4997521408,268434128896
0,28327936,0,0,4096,0,0,4096,0,28327936,0,28327936,28327936,28327936,28327936,0,0,0,0,28659712,0,0,0,rd wr mr mw me ac,00:00,183816232960,0,gguf,0,[heap],rw-p,PAYLOAD_MATERIALIZATION_BEGIN,28659712,183787573248
0,19947520,0,0,4096,0,0,4096,0,19947520,0,19947520,19947520,19947520,19947520,0,0,0,0,4997521408,0,0,0,rd wr mr mw me ac,00:00,273431650304,0,gguf,0,,rw-p,PAYLOAD_MATERIALIZATION_BEGIN,4997521408,268434128896
0,28844032,0,0,4096,0,0,4096,0,28844032,0,28844032,28844032,28844032,28844032,0,0,0,0,31645696,0,0,0,rd wr mr mw me ac,00:00,183819218944,0,gguf,0,[heap],rw-p,PAYLOAD_MATERIALIZATION_END,31645696,183787573248
0,5065027584,0,0,4096,0,0,4096,0,5065027584,0,5065027584,5065027584,5065027584,5065027584,0,0,0,0,5125976064,0,0,0,rd wr mr mw me ac,00:00,273428369408,0,gguf,0,,rw-p,PAYLOAD_MATERIALIZATION_END,5125976064,268302393344
0,30482432,0,0,4096,0,0,4096,0,30482432,0,30482432,30482432,30482432,30482432,0,0,0,0,33284096,0,0,0,rd wr mr mw me ac,00:00,183820857344,0,gguf,0,[heap],rw-p,MODEL_OPEN_END,33284096,183787573248
0,5065031680,0,0,4096,0,0,4096,0,5065031680,0,5065031680,5065031680,5065031680,5065031680,0,0,0,0,5157470208,0,0,0,rd wr mr mw me ac,00:00,273428369408,0,gguf,0,,rw-p,MODEL_OPEN_END,5157470208,268270899200
0,30519296,0,0,4096,0,0,4096,0,30519296,0,30519296,30519296,30519296,30519296,0,0,0,0,34856960,0,0,0,rd wr mr mw me ac,00:00,183822430208,0,gguf,0,[heap],rw-p,CONTEXT_CREATE_BEGIN,34856960,183787573248
0,5066031104,0,0,4096,0,0,4096,0,5066031104,0,5066031104,5066031104,5066031104,5066031104,0,0,0,0,5165858816,0,0,0,rd wr mr mw me ac,00:00,273428369408,0,gguf,0,,rw-p,CONTEXT_CREATE_BEGIN,5165858816,268262510592
0,30519296,0,0,4096,0,0,4096,0,30519296,0,30519296,30519296,30519296,30519296,0,0,0,0,34856960,0,0,0,rd wr mr mw me ac,00:00,183822430208,0,gguf,0,[heap],rw-p,GRAPH_RESERVE_BEGIN,34856960,183787573248
0,5067530240,0,0,4096,0,0,4096,0,5067530240,0,5067530240,5067530240,5067530240,5067530240,0,0,0,0,5165858816,0,0,0,rd wr mr mw me ac,00:00,273428369408,0,gguf,0,,rw-p,GRAPH_RESERVE_BEGIN,5165858816,268262510592
