end,kind,mincore_status,path,phase,pss_bytes,resident_bytes,resident_pages,rss_bytes,size_bytes,start
0x2acc4d2000,gguf,Cannot allocate memory,[heap],TOKENIZER_END,28278784,,,28278784,28659712,0x2aca97d000
0x2acc4d2000,gguf,Cannot allocate memory,[heap],MODEL_STRUCTURE_READY,28327936,,,28327936,28659712,0x2aca97d000
0x3fa9cbe000,gguf,Cannot allocate memory,,MODEL_STRUCTURE_READY,12079104,,,12079104,4997521408,0x3e7febc000
0x2acc4d2000,gguf,Cannot allocate memory,[heap],BACKEND_BUFFER_ALLOCATION_BEGIN,28327936,,,28327936,28659712,0x2aca97d000
0x3fa9cbe000,gguf,Cannot allocate memory,,BACKEND_BUFFER_ALLOCATION_BEGIN,14700544,,,14700544,4997521408,0x3e7febc000
0x2acc4d2000,gguf,Cannot allocate memory,[heap],BACKEND_BUFFER_ALLOCATION_END,28327936,,,28327936,28659712,0x2aca97d000
0x3fa9cbe000,gguf,Cannot allocate memory,,BACKEND_BUFFER_ALLOCATION_END,17321984,,,17321984,4997521408,0x3e7febc000
0x2acc4d2000,gguf,Cannot allocate memory,[heap],PAYLOAD_MATERIALIZATION_BEGIN,28327936,,,28327936,28659712,0x2aca97d000
0x3fa9cbe000,gguf,Cannot allocate memory,,PAYLOAD_MATERIALIZATION_BEGIN,19947520,,,19947520,4997521408,0x3e7febc000
0x2acc7ab000,gguf,Cannot allocate memory,[heap],PAYLOAD_MATERIALIZATION_END,28844032,,,28844032,31645696,0x2aca97d000
0x3fa999d000,gguf,Cannot allocate memory,,PAYLOAD_MATERIALIZATION_END,5065027584,,,5065027584,5125976064,0x3e7811a000
0x2acc93b000,gguf,Cannot allocate memory,[heap],MODEL_OPEN_END,30482432,,,30482432,33284096,0x2aca97d000
0x3fa999d000,gguf,Cannot allocate memory,,MODEL_OPEN_END,5065031680,,,5065031680,5157470208,0x3e76311000
0x2accabb000,gguf,Cannot allocate memory,[heap],CONTEXT_CREATE_BEGIN,30519296,,,30519296,34856960,0x2aca97d000
0x3fa999d000,gguf,Cannot allocate memory,,CONTEXT_CREATE_BEGIN,5066031104,,,5066031104,5165858816,0x3e75b11000
0x2accabb000,gguf,Cannot allocate memory,[heap],GRAPH_RESERVE_BEGIN,30519296,,,30519296,34856960,0x2aca97d000
0x3fa999d000,gguf,Cannot allocate memory,,GRAPH_RESERVE_BEGIN,5067530240,,,5067530240,5165858816,0x3e75b11000
0x2accabb000,gguf,Cannot allocate memory,[heap],GRAPH_RESERVE_END,30519296,,,30519296,34856960,0x2aca97d000
0x3fa999d000,gguf,Cannot allocate memory,,GRAPH_RESERVE_END,5067530240,,,5067530240,5165858816,0x3e75b11000
0x2accabb000,gguf,Cannot allocate memory,[heap],CONTEXT_CREATE_END,30519296,,,30519296,34856960,0x2aca97d000
0x3fa999d000,gguf,Cannot allocate memory,,CONTEXT_CREATE_END,4994240512,,,4994240512,4994240512,0x3e7febc000
0x2accabb000,gguf,Cannot allocate memory,[heap],EXECUTION_READY,30519296,,,30519296,34856960,0x2aca97d000
0x3f21a91000,gguf,Cannot allocate memory,,EXECUTION_READY,2713538560,,,2713538560,2713538560,0x3e7febc000
0x2accabb000,gguf,Cannot allocate memory,[heap],PROMPT_EVAL_BEGIN,30519296,,,30519296,34856960,0x2aca97d000
0x3f21a91000,gguf,Cannot allocate memory,,PROMPT_EVAL_BEGIN,2713538560,,,2713538560,2713538560,0x3e7febc000
0x2accabb000,gguf,Cannot allocate memory,[heap],PROMPT_EVAL_END,30519296,,,30519296,34856960,0x2aca97d000
0x2accabb000,gguf,Cannot allocate memory,[heap],BEFORE_CONTEXT_FREE,30519296,,,30519296,34856960,0x2aca97d000
0x2accabb000,gguf,Cannot allocate memory,[heap],AFTER_CONTEXT_FREE,30519296,,,30519296,34856960,0x2aca97d000
0x2accabb000,gguf,Cannot allocate memory,[heap],BEFORE_MODEL_FREE,30519296,,,30519296,34856960,0x2aca97d000
0x2accabb000,gguf,Cannot allocate memory,[heap],AFTER_MODEL_FREE,30519296,,,30519296,34856960,0x2aca97d000
0x2accabb000,gguf,Cannot allocate memory,[heap],AFTER_BACKEND_FREE,30519296,,,30519296,34856960,0x2aca97d000
