AnonHugePages,Anonymous,FilePmdMapped,KSM,KernelPageSize,LazyFree,Locked,MMUPageSize,Private_Clean,Private_Dirty,Private_Hugetlb,Pss,Pss_Dirty,Referenced,Rss,Shared_Clean,Shared_Dirty,Shared_Hugetlb,ShmemPmdMapped,Size,Swap,SwapPss,THPeligible,VmFlags,dev,end,inode,kind,offset,path,perms,phase,size_bytes,start
0,28327936,0,0,4096,0,0,4096,0,28327936,0,28327936,28327936,28327936,28327936,0,0,0,0,28659712,0,0,0,rd wr mr mw me ac,00:00,183907762176,0,gguf,0,[heap],rw-p,TOKENIZER_END,28659712,183879102464
0,7901184,0,0,4096,0,0,4096,0,7901184,0,7901184,7901184,7901184,7901184,0,0,0,0,4997521408,0,0,0,rd wr mr mw me ac,00:00,273622491136,0,gguf,0,,rw-p,TOKENIZER_END,4997521408,268624969728
0,28327936,0,0,4096,0,0,4096,0,28327936,0,28327936,28327936,28327936,28327936,0,0,0,0,28659712,0,0,0,rd wr mr mw me ac,00:00,183907762176,0,gguf,0,[heap],rw-p,MODEL_STRUCTURE_READY,28659712,183879102464
0,10506240,0,0,4096,0,0,4096,0,10506240,0,10506240,10506240,10506240,10506240,0,0,0,0,4997521408,0,0,0,rd wr mr mw me ac,00:00,273622491136,0,gguf,0,,rw-p,MODEL_STRUCTURE_READY,4997521408,268624969728
0,28327936,0,0,4096,0,0,4096,0,28327936,0,28327936,28327936,28327936,28327936,0,0,0,0,28659712,0,0,0,rd wr mr mw me ac,00:00,183907762176,0,gguf,0,[heap],rw-p,BACKEND_BUFFER_ALLOCATION_BEGIN,28659712,183879102464
0,13123584,0,0,4096,0,0,4096,0,13123584,0,13123584,13123584,13123584,13123584,0,0,0,0,4997521408,0,0,0,rd wr mr mw me ac,00:00,273622491136,0,gguf,0,,rw-p,BACKEND_BUFFER_ALLOCATION_BEGIN,4997521408,268624969728
0,28327936,0,0,4096,0,0,4096,0,28327936,0,28327936,28327936,28327936,28327936,0,0,0,0,28659712,0,0,0,rd wr mr mw me ac,00:00,183907762176,0,gguf,0,[heap],rw-p,BACKEND_BUFFER_ALLOCATION_END,28659712,183879102464
0,15749120,0,0,4096,0,0,4096,0,15749120,0,15749120,15749120,15749120,15749120,0,0,0,0,4997521408,0,0,0,rd wr mr mw me ac,00:00,273622491136,0,gguf,0,,rw-p,BACKEND_BUFFER_ALLOCATION_END,4997521408,268624969728
0,28327936,0,0,4096,0,0,4096,0,28327936,0,28327936,28327936,28327936,28327936,0,0,0,0,28659712,0,0,0,rd wr mr mw me ac,00:00,183907762176,0,gguf,0,[heap],rw-p,PAYLOAD_MATERIALIZATION_BEGIN,28659712,183879102464
0,18370560,0,0,4096,0,0,4096,0,18370560,0,18370560,18370560,18370560,18370560,0,0,0,0,4997521408,0,0,0,rd wr mr mw me ac,00:00,273622491136,0,gguf,0,,rw-p,PAYLOAD_MATERIALIZATION_BEGIN,4997521408,268624969728
0,28327936,0,0,4096,0,0,4096,0,28327936,0,28327936,28327936,28327936,28327936,0,0,0,0,28659712,0,0,0,rd wr mr mw me ac,00:00,183907762176,0,gguf,0,[heap],rw-p,PAYLOAD_MATERIALIZATION_END,28659712,183879102464
0,4998201344,0,0,4096,0,0,4096,0,4998201344,0,4998201344,4998201344,4879044608,4998201344,0,0,0,0,5065023488,0,0,0,rd wr mr mw me ac,00:00,273619210240,0,gguf,0,,rw-p,PAYLOAD_MATERIALIZATION_END,5065023488,268554186752
0,28844032,0,0,4096,0,0,4096,0,28844032,0,28844032,28844032,28844032,28844032,0,0,0,0,31645696,0,0,0,rd wr mr mw me ac,00:00,183910748160,0,gguf,0,[heap],rw-p,MODEL_OPEN_END,31645696,183879102464
0,5065031680,0,0,4096,0,0,4096,0,5065031680,0,5065031680,5065031680,4945874944,5065031680,0,0,0,0,5157470208,0,0,0,rd wr mr mw me ac,00:00,273619210240,0,gguf,0,,rw-p,MODEL_OPEN_END,5157470208,268461740032
0,30519296,0,0,4096,0,0,4096,0,30519296,0,30519296,30519296,30519296,30519296,0,0,0,0,34856960,0,0,0,rd wr mr mw me ac,00:00,183913959424,0,gguf,0,[heap],rw-p,CONTEXT_CREATE_BEGIN,34856960,183879102464
0,5066031104,0,0,4096,0,0,4096,0,5066031104,0,5066031104,5066031104,4957712384,5066031104,0,0,0,0,5165858816,0,0,0,rd wr mr mw me ac,00:00,273619210240,0,gguf,0,,rw-p,CONTEXT_CREATE_BEGIN,5165858816,268453351424
0,30519296,0,0,4096,0,0,4096,0,30519296,0,30519296,30519296,30519296,30519296,0,0,0,0,34856960,0,0,0,rd wr mr mw me ac,00:00,183913959424,0,gguf,0,[heap],rw-p,GRAPH_RESERVE_BEGIN,34856960,183879102464
0,5067530240,0,0,4096,0,0,4096,0,5067530240,0,5067530240,5067530240,4972969984,5067530240,0,0,0,0,5165858816,0,0,0,rd wr mr mw me ac,00:00,273619210240,0,gguf,0,,rw-p,GRAPH_RESERVE_BEGIN,5165858816,268453351424
