end,kind,mincore_status,path,phase,pss_bytes,resident_bytes,resident_pages,rss_bytes,size_bytes,start
0x2ad1c1c000,gguf,Cannot allocate memory,[heap],TOKENIZER_END,28327936,,,28327936,28659712,0x2ad00c7000
0x3fb52be000,gguf,Cannot allocate memory,,TOKENIZER_END,7901184,,,7901184,4997521408,0x3e8b4bc000
0x2ad1c1c000,gguf,Cannot allocate memory,[heap],MODEL_STRUCTURE_READY,28327936,,,28327936,28659712,0x2ad00c7000
0x3fb52be000,gguf,Cannot allocate memory,,MODEL_STRUCTURE_READY,10506240,,,10506240,4997521408,0x3e8b4bc000
0x2ad1c1c000,gguf,Cannot allocate memory,[heap],BACKEND_BUFFER_ALLOCATION_BEGIN,28327936,,,28327936,28659712,0x2ad00c7000
0x3fb52be000,gguf,Cannot allocate memory,,BACKEND_BUFFER_ALLOCATION_BEGIN,13123584,,,13123584,4997521408,0x3e8b4bc000
0x2ad1c1c000,gguf,Cannot allocate memory,[heap],BACKEND_BUFFER_ALLOCATION_END,28327936,,,28327936,28659712,0x2ad00c7000
0x3fb52be000,gguf,Cannot allocate memory,,BACKEND_BUFFER_ALLOCATION_END,15749120,,,15749120,4997521408,0x3e8b4bc000
0x2ad1c1c000,gguf,Cannot allocate memory,[heap],PAYLOAD_MATERIALIZATION_BEGIN,28327936,,,28327936,28659712,0x2ad00c7000
0x3fb52be000,gguf,Cannot allocate memory,,PAYLOAD_MATERIALIZATION_BEGIN,18370560,,,18370560,4997521408,0x3e8b4bc000
0x2ad1c1c000,gguf,Cannot allocate memory,[heap],PAYLOAD_MATERIALIZATION_END,28327936,,,28327936,28659712,0x2ad00c7000
0x3fb4f9d000,gguf,Cannot allocate memory,,PAYLOAD_MATERIALIZATION_END,4998201344,,,4998201344,5065023488,0x3e8713b000
0x2ad1ef5000,gguf,Cannot allocate memory,[heap],MODEL_OPEN_END,28844032,,,28844032,31645696,0x2ad00c7000
0x3fb4f9d000,gguf,Cannot allocate memory,,MODEL_OPEN_END,5065031680,,,5065031680,5157470208,0x3e81911000
0x2ad2205000,gguf,Cannot allocate memory,[heap],CONTEXT_CREATE_BEGIN,30519296,,,30519296,34856960,0x2ad00c7000
0x3fb4f9d000,gguf,Cannot allocate memory,,CONTEXT_CREATE_BEGIN,5066031104,,,5066031104,5165858816,0x3e81111000
0x2ad2205000,gguf,Cannot allocate memory,[heap],GRAPH_RESERVE_BEGIN,30519296,,,30519296,34856960,0x2ad00c7000
0x3fb4f9d000,gguf,Cannot allocate memory,,GRAPH_RESERVE_BEGIN,5067530240,,,5067530240,5165858816,0x3e81111000
0x2ad2205000,gguf,Cannot allocate memory,[heap],GRAPH_RESERVE_END,30519296,,,30519296,34856960,0x2ad00c7000
0x3fb4f9d000,gguf,Cannot allocate memory,,GRAPH_RESERVE_END,5065027584,,,5065027584,5125976064,0x3e8371a000
0x2ad2205000,gguf,Cannot allocate memory,[heap],CONTEXT_CREATE_END,30519296,,,30519296,34856960,0x2ad00c7000
0x3f2d091000,gguf,Cannot allocate memory,,CONTEXT_CREATE_END,2713538560,,,2713538560,2713538560,0x3e8b4bc000
0x2ad2205000,gguf,Cannot allocate memory,[heap],EXECUTION_READY,30519296,,,30519296,34856960,0x2ad00c7000
0x3f2d091000,gguf,Cannot allocate memory,,EXECUTION_READY,2713538560,,,2713538560,2713538560,0x3e8b4bc000
0x2ad2205000,gguf,Cannot allocate memory,[heap],PROMPT_EVAL_BEGIN,30519296,,,30519296,34856960,0x2ad00c7000
0x2ad2205000,gguf,Cannot allocate memory,[heap],PROMPT_EVAL_END,30519296,,,30519296,34856960,0x2ad00c7000
0x2ad2205000,gguf,Cannot allocate memory,[heap],FIRST_DECODE_BEGIN,30519296,,,30519296,34856960,0x2ad00c7000
0x2ad2205000,gguf,Cannot allocate memory,[heap],FIRST_DECODE_END,30519296,,,30519296,34856960,0x2ad00c7000
0x2ad2205000,gguf,Cannot allocate memory,[heap],FIRST_TOKEN,30519296,,,30519296,34856960,0x2ad00c7000
0x2ad2205000,gguf,Cannot allocate memory,[heap],RUN_END,30519296,,,30519296,34856960,0x2ad00c7000
