AnonHugePages,Anonymous,FilePmdMapped,KSM,KernelPageSize,LazyFree,Locked,MMUPageSize,Private_Clean,Private_Dirty,Private_Hugetlb,Pss,Pss_Dirty,Referenced,Rss,Shared_Clean,Shared_Dirty,Shared_Hugetlb,ShmemPmdMapped,Size,Swap,SwapPss,THPeligible,VmFlags,dev,end,inode,kind,offset,path,perms,phase,size_bytes,start
0,0,0,0,4096,0,0,4096,131072,0,0,131072,0,131072,131072,0,0,0,0,4993335296,0,0,0,rd mr me ms,b3:01,273497997312,129277,vbuf,0,/home/eugen/DeepSeek-V2-Lite.IQ1_S.vbuf,r--s,PROCESS_START,4993335296,268504662016
0,0,0,0,4096,0,0,4096,954368,0,0,954368,0,954368,954368,0,0,0,0,4993335296,0,0,0,rd mr me ms,b3:01,273497997312,129277,vbuf,0,/home/eugen/DeepSeek-V2-Lite.IQ1_S.vbuf,r--s,MODEL_OPEN_BEGIN,4993335296,268504662016
0,0,0,0,4096,0,0,4096,1630208,0,0,1630208,0,1630208,1630208,0,0,0,0,4993335296,0,0,0,rd mr me ms,b3:01,273497997312,129277,vbuf,0,/home/eugen/DeepSeek-V2-Lite.IQ1_S.vbuf,r--s,FORMAT_OPEN_BEGIN,4993335296,268504662016
0,0,0,0,4096,0,0,4096,22372352,0,0,22372352,0,22372352,22372352,0,0,0,0,4993335296,0,0,0,rd mr me ms,b3:01,273497997312,129277,vbuf,0,/home/eugen/DeepSeek-V2-Lite.IQ1_S.vbuf,r--s,FORMAT_OPEN_END,4993335296,268504662016
0,0,0,0,4096,0,0,4096,22372352,0,0,22372352,0,22372352,22372352,0,0,0,0,4993335296,0,0,0,rd mr me ms,b3:01,273497997312,129277,vbuf,0,/home/eugen/DeepSeek-V2-Lite.IQ1_S.vbuf,r--s,MODEL_METADATA_BEGIN,4993335296,268504662016
0,0,0,0,4096,0,0,4096,22372352,0,0,22372352,0,22372352,22372352,0,0,0,0,4993335296,0,0,0,rd mr me ms,b3:01,273497997312,129277,vbuf,0,/home/eugen/DeepSeek-V2-Lite.IQ1_S.vbuf,r--s,MODEL_METADATA_END,4993335296,268504662016
0,0,0,0,4096,0,0,4096,22372352,0,0,22372352,0,22372352,22372352,0,0,0,0,4993335296,0,0,0,rd mr me ms,b3:01,273497997312,129277,vbuf,0,/home/eugen/DeepSeek-V2-Lite.IQ1_S.vbuf,r--s,TOKENIZER_BEGIN,4993335296,268504662016
0,0,0,0,4096,0,0,4096,22372352,0,0,22372352,0,22372352,22372352,0,0,0,0,4993335296,0,0,0,rd mr me ms,b3:01,273497997312,129277,vbuf,0,/home/eugen/DeepSeek-V2-Lite.IQ1_S.vbuf,r--s,TOKENIZER_END,4993335296,268504662016
0,0,0,0,4096,0,0,4096,22372352,0,0,22372352,0,22372352,22372352,0,0,0,0,4993335296,0,0,0,rd mr me ms,b3:01,273497997312,129277,vbuf,0,/home/eugen/DeepSeek-V2-Lite.IQ1_S.vbuf,r--s,TENSOR_ENUMERATION_BEGIN,4993335296,268504662016
0,0,0,0,4096,0,0,4096,22372352,0,0,22372352,0,22372352,22372352,0,0,0,0,4993335296,0,0,0,rd mr me ms,b3:01,273497997312,129277,vbuf,0,/home/eugen/DeepSeek-V2-Lite.IQ1_S.vbuf,r--s,TENSOR_ENUMERATION_END,4993335296,268504662016
0,18272256,0,0,4096,0,0,4096,0,18272256,0,18272256,18272256,18272256,18272256,0,0,0,0,18436096,0,0,0,rd wr mr mw me ac,00:00,183635374080,0,vbuf,0,[heap],rw-p,MODEL_STRUCTURE_READY,18436096,183616937984
0,13398016,0,0,4096,0,0,4096,0,13398016,0,13398016,13398016,13398016,13398016,0,0,0,0,5002989568,0,0,0,rd wr mr mw me ac,00:00,268503638016,0,vbuf,0,,rw-p,MODEL_STRUCTURE_READY,5002989568,263500648448
0,0,0,0,4096,0,0,4096,25976832,0,0,25976832,0,25976832,25976832,0,0,0,0,4993335296,0,0,0,rd mr me ms,b3:01,273497997312,129277,vbuf,0,/home/eugen/DeepSeek-V2-Lite.IQ1_S.vbuf,r--s,MODEL_STRUCTURE_READY,4993335296,268504662016
