AnonHugePages,Anonymous,FilePmdMapped,KSM,LazyFree,Locked,Private_Clean,Private_Dirty,Private_Hugetlb,Pss,Pss_Anon,Pss_Dirty,Pss_File,Pss_Shmem,Referenced,Rss,Shared_Clean,Shared_Dirty,Shared_Hugetlb,ShmemPmdMapped,Swap,SwapPss,detail,phase,pid,status_RssAnon,status_RssFile,status_VmRSS,status_VmSize,status_VmSwap,tid,trace_timestamp_us
0,958464,0,0,0,0,4046848,958464,0,5209088,958464,958464,4250624,0,6356992,6356992,1351680,0,0,0,0,0,vbuf,PROCESS_START,69069,917504,5373952,6291456,5005651968,0,69069,19360422018
0,958464,0,0,0,0,4804608,958464,0,5966848,958464,958464,5008384,0,7114752,7114752,1351680,0,0,0,0,0,vbuf,MODEL_OPEN_BEGIN,69069,917504,6029312,6946816,5005651968,0,69069,19360435787
0,958464,0,0,0,0,5484544,958464,0,6646784,958464,958464,5688320,0,7794688,7794688,1351680,0,0,0,0,0,,FORMAT_OPEN_BEGIN,69069,917504,6815744,7733248,5005651968,0,69069,19360435918
0,3194880,0,0,0,0,26501120,3194880,0,29899776,3194880,3194880,26704896,0,31047680,31047680,1351680,0,0,0,0,0,,FORMAT_OPEN_END,69069,3014656,27787264,30801920,5006807040,0,69069,19361128491
0,4304896,0,0,0,0,26746880,4304896,0,31255552,4304896,4304896,26950656,0,32403456,32403456,1351680,0,0,0,0,0,vbuf,MODEL_METADATA_BEGIN,69069,4194304,28049408,32243712,5007941632,0,69069,19361128599
0,5349376,0,0,0,0,26746880,5349376,0,32300032,5349376,5349376,26950656,0,33447936,33447936,1351680,0,0,0,0,0,vbuf,MODEL_METADATA_END,69069,5242880,28049408,33292288,5008920576,0,69069,19361129106
0,6045696,0,0,0,0,26746880,6045696,0,32996352,6045696,6045696,26950656,0,34144256,34144256,1351680,0,0,0,0,0,vbuf,TOKENIZER_BEGIN,69069,5996544,28049408,34045952,5009633280,0,69069,19361129121
0,7086080,0,0,0,0,26746880,7086080,0,34036736,7086080,7086080,26950656,0,35184640,35184640,1351680,0,0,0,0,0,vbuf,TOKENIZER_END,69069,7045120,28049408,35094528,5010714624,0,69069,19361129132
0,8351744,0,0,0,0,26746880,8351744,0,35302400,8351744,8351744,26950656,0,36450304,36450304,1351680,0,0,0,0,0,vbuf,TENSOR_ENUMERATION_BEGIN,69069,8224768,28049408,36274176,5011939328,0,69069,19361129139
0,8925184,0,0,0,0,26746880,8925184,0,35875840,8925184,8925184,26950656,0,37023744,37023744,1351680,0,0,0,0,0,vbuf,TENSOR_ENUMERATION_END,69069,8798208,28049408,36847616,5012545536,0,69069,19361129239
