2ac06a7000-3ffee48000 ---p 00000000 00:00 0                              [rollup]
Rss:             7611848 kB
Pss:             7610762 kB
Pss_Dirty:       4977960 kB
Pss_Anon:        4977960 kB
Pss_File:        2632802 kB
Pss_Shmem:             0 kB
Shared_Clean:       1256 kB
Shared_Dirty:          0 kB
Private_Clean:   2632632 kB
Private_Dirty:   4977960 kB
Referenced:      6064504 kB
Anonymous:       4977960 kB
KSM:                   0 kB
LazyFree:              0 kB
AnonHugePages:         0 kB
ShmemPmdMapped:        0 kB
FilePmdMapped:         0 kB
Shared_Hugetlb:        0 kB
Private_Hugetlb:       0 kB
Swap:                  0 kB
SwapPss:               0 kB
Locked:                0 kB
