AnonHugePages,Anonymous,FilePmdMapped,KSM,LazyFree,Locked,Private_Clean,Private_Dirty,Private_Hugetlb,Pss,Pss_Anon,Pss_Dirty,Pss_File,Pss_Shmem,Referenced,Rss,Shared_Clean,Shared_Dirty,Shared_Hugetlb,ShmemPmdMapped,Swap,SwapPss,detail,phase,pid,status_RssAnon,status_RssFile,status_VmRSS,status_VmSize,status_VmSwap,tid,trace_timestamp_us
0,958464,0,0,0,0,4018176,958464,0,5220352,958464,958464,4261888,0,6406144,6406144,1429504,0,0,0,0,0,vbuf,PROCESS_START,63297,917504,5373952,6291456,5005643776,0,63297,18438426760
0,958464,0,0,0,0,4653056,958464,0,5855232,958464,958464,4896768,0,7041024,7041024,1429504,0,0,0,0,0,vbuf,MODEL_OPEN_BEGIN,63297,917504,6029312,6946816,5005643776,0,63297,18438440589
0,958464,0,0,0,0,5394432,958464,0,6596608,958464,958464,5638144,0,7782400,7782400,1429504,0,0,0,0,0,,FORMAT_OPEN_BEGIN,63297,917504,6684672,7602176,5005643776,0,63297,18438440707
0,3215360,0,0,0,0,26615808,3215360,0,30074880,3215360,3215360,26859520,0,31260672,31260672,1429504,0,0,0,0,0,,FORMAT_OPEN_END,63297,3145728,27656192,30801920,5006798848,0,63297,18439137251
0,4501504,0,0,0,0,26615808,4501504,0,31361024,4501504,4501504,26859520,0,32546816,32546816,1429504,0,0,0,0,0,vbuf,MODEL_METADATA_BEGIN,63297,4456448,27918336,32374784,5008101376,0,63297,18439137354
0,5771264,0,0,0,0,26615808,5771264,0,32630784,5771264,5771264,26859520,0,33816576,33816576,1429504,0,0,0,0,0,vbuf,MODEL_METADATA_END,63297,5767168,27918336,33685504,5009387520,0,63297,18439137887
0,6545408,0,0,0,0,26615808,6545408,0,33404928,6545408,6545408,26859520,0,34590720,34590720,1429504,0,0,0,0,0,vbuf,TOKENIZER_BEGIN,63297,6520832,27918336,34439168,5010165760,0,63297,18439137904
0,7540736,0,0,0,0,26615808,7540736,0,34400256,7540736,7540736,26859520,0,35586048,35586048,1429504,0,0,0,0,0,vbuf,TOKENIZER_END,63297,7438336,27918336,35356672,5011111936,0,63297,18439137917
0,8196096,0,0,0,0,26615808,8196096,0,35055616,8196096,8196096,26859520,0,36241408,36241408,1429504,0,0,0,0,0,vbuf,TENSOR_ENUMERATION_BEGIN,63297,8142848,27918336,36061184,5011726336,0,63297,18439137925
0,10305536,0,0,0,0,26615808,10305536,0,37165056,10305536,10305536,26859520,0,38350848,38350848,1429504,0,0,0,0,0,vbuf,TENSOR_ENUMERATION_END,63297,10240000,27918336,38158336,5013889024,0,63297,18439138025
0,32161792,0,0,0,0,28491776,32161792,0,60897280,32161792,32161792,28735488,0,61038592,62083072,1429504,0,0,0,0,0,,MODEL_STRUCTURE_READY,63297,31952896,29622272,61575168,10027204608,0,63297,18440566606
0,35569664,0,0,0,0,31899648,35569664,0,67713024,35569664,35569664,32143360,0,67854336,68898816,1429504,0,0,0,0,0,,BACKEND_BUFFER_ALLOCATION_BEGIN,63297,35360768,33030144,68390912,10027204608,0,63297,18440567192
0,38584320,0,0,0,0,34914304,38584320,0,73742336,38584320,38584320,35158016,0,73883648,74928128,1429504,0,0,0,0,0,,BACKEND_BUFFER_ALLOCATION_END,63297,38375424,35913728,74289152,10027204608,0,63297,18440567620
0,42254336,0,0,0,0,38584320,42254336,0,81082368,42254336,42254336,38828032,0,81223680,82268160,1429504,0,0,0,0,0,,PAYLOAD_MATERIALIZATION_BEGIN,63297,41914368,39583744,81498112,10027204608,0,63297,18440567735
0,5020884992,0,0,0,0,2765119488,5020884992,0,7786199040,5020884992,5020884992,2765314048,0,6116065280,7787298816,1294336,0,0,0,0,0,,PAYLOAD_MATERIALIZATION_END,63297,5020684288,2765750272,7786434560,10027065344,0,63297,18513425168
