end,kind,mincore_status,path,phase,pss_bytes,resident_bytes,resident_pages,rss_bytes,size_bytes,start
0x3fbc804000,vbuf,Cannot allocate memory,/home/eugen/DeepSeek-V2-Lite.IQ1_S.vbuf,PROCESS_START,315392,,,315392,4993335296,0x3e92e00000
0x3fbc804000,vbuf,Cannot allocate memory,/home/eugen/DeepSeek-V2-Lite.IQ1_S.vbuf,MODEL_OPEN_BEGIN,954368,,,954368,4993335296,0x3e92e00000
0x3fbc804000,vbuf,Cannot allocate memory,/home/eugen/DeepSeek-V2-Lite.IQ1_S.vbuf,FORMAT_OPEN_BEGIN,1630208,,,1630208,4993335296,0x3e92e00000
0x3fbc804000,vbuf,Cannot allocate memory,/home/eugen/DeepSeek-V2-Lite.IQ1_S.vbuf,FORMAT_OPEN_END,22409216,,,22409216,4993335296,0x3e92e00000
0x3fbc804000,vbuf,Cannot allocate memory,/home/eugen/DeepSeek-V2-Lite.IQ1_S.vbuf,MODEL_METADATA_BEGIN,22409216,,,22409216,4993335296,0x3e92e00000
0x3fbc804000,vbuf,Cannot allocate memory,/home/eugen/DeepSeek-V2-Lite.IQ1_S.vbuf,MODEL_METADATA_END,22409216,,,22409216,4993335296,0x3e92e00000
0x3fbc804000,vbuf,Cannot allocate memory,/home/eugen/DeepSeek-V2-Lite.IQ1_S.vbuf,TOKENIZER_BEGIN,22409216,,,22409216,4993335296,0x3e92e00000
0x3fbc804000,vbuf,Cannot allocate memory,/home/eugen/DeepSeek-V2-Lite.IQ1_S.vbuf,TOKENIZER_END,22409216,,,22409216,4993335296,0x3e92e00000
0x3fbc804000,vbuf,Cannot allocate memory,/home/eugen/DeepSeek-V2-Lite.IQ1_S.vbuf,TENSOR_ENUMERATION_BEGIN,22409216,,,22409216,4993335296,0x3e92e00000
0x3fbc804000,vbuf,Cannot allocate memory,/home/eugen/DeepSeek-V2-Lite.IQ1_S.vbuf,TENSOR_ENUMERATION_END,22409216,,,22409216,4993335296,0x3e92e00000
0x2adcdbd000,vbuf,Cannot allocate memory,[heap],MODEL_STRUCTURE_READY,18272256,,,18272256,18436096,0x2adbc28000
0x3e92d59000,vbuf,Cannot allocate memory,,MODEL_STRUCTURE_READY,12218368,,,12218368,5002989568,0x3d68a20000
0x3fbc804000,vbuf,Cannot allocate memory,/home/eugen/DeepSeek-V2-Lite.IQ1_S.vbuf,MODEL_STRUCTURE_READY,24834048,,,24834048,4993335296,0x3e92e00000
0x2adcdbd000,vbuf,Cannot allocate memory,[heap],BACKEND_BUFFER_ALLOCATION_BEGIN,18272256,,,18272256,18436096,0x2adbc28000
0x3e92d59000,vbuf,Cannot allocate memory,,BACKEND_BUFFER_ALLOCATION_BEGIN,15757312,,,15757312,5002989568,0x3d68a20000
0x3fbc804000,vbuf,Cannot allocate memory,/home/eugen/DeepSeek-V2-Lite.IQ1_S.vbuf,BACKEND_BUFFER_ALLOCATION_BEGIN,28372992,,,28372992,4993335296,0x3e92e00000
0x2adcdbd000,vbuf,Cannot allocate memory,[heap],BACKEND_BUFFER_ALLOCATION_END,18272256,,,18272256,18436096,0x2adbc28000
0x3e92d59000,vbuf,Cannot allocate memory,,BACKEND_BUFFER_ALLOCATION_END,18771968,,,18771968,5002989568,0x3d68a20000
0x3fbc804000,vbuf,Cannot allocate memory,/home/eugen/DeepSeek-V2-Lite.IQ1_S.vbuf,BACKEND_BUFFER_ALLOCATION_END,31518720,,,31518720,4993335296,0x3e92e00000
0x2adcdbd000,vbuf,Cannot allocate memory,[heap],PAYLOAD_MATERIALIZATION_BEGIN,18272256,,,18272256,18436096,0x2adbc28000
0x3e92d59000,vbuf,Cannot allocate memory,,PAYLOAD_MATERIALIZATION_BEGIN,22441984,,,22441984,5002989568,0x3d68a20000
0x3fbc804000,vbuf,Cannot allocate memory,/home/eugen/DeepSeek-V2-Lite.IQ1_S.vbuf,PAYLOAD_MATERIALIZATION_BEGIN,35188736,,,35188736,4993335296,0x3e92e00000
0x2adce2b000,vbuf,Cannot allocate memory,[heap],PAYLOAD_MATERIALIZATION_END,18681856,,,18681856,18886656,0x2adbc28000
0x3e92d59000,vbuf,Cannot allocate memory,,PAYLOAD_MATERIALIZATION_END,5000425472,,,5000425472,5002989568,0x3d68a20000
0x3fbc804000,vbuf,Cannot allocate memory,/home/eugen/DeepSeek-V2-Lite.IQ1_S.vbuf,PAYLOAD_MATERIALIZATION_END,2762137600,,,2762137600,4993335296,0x3e92e00000
0x2adce2b000,vbuf,Cannot allocate memory,[heap],MODEL_OPEN_END,18800640,,,18800640,18886656,0x2adbc28000
0x3e92d59000,vbuf,Cannot allocate memory,,MODEL_OPEN_END,5073731584,,,5073731584,5076295680,0x3d64437000
0x3fbc804000,vbuf,Cannot allocate memory,/home/eugen/DeepSeek-V2-Lite.IQ1_S.vbuf,MODEL_OPEN_END,2718887936,,,2718887936,4993335296,0x3e92e00000
0x2adcf40000,vbuf,Cannot allocate memory,[heap],CONTEXT_CREATE_BEGIN,19812352,,,19812352,20021248,0x2adbc28000
0x3e92d59000,vbuf,Cannot allocate memory,,CONTEXT_CREATE_BEGIN,5073752064,,,5073752064,5139460096,0x3d607fa000
0x3fbc804000,vbuf,Cannot allocate memory,/home/eugen/DeepSeek-V2-Lite.IQ1_S.vbuf,CONTEXT_CREATE_BEGIN,2718887936,,,2718887936,4993335296,0x3e92e00000
0x2adcfa8000,vbuf,Cannot allocate memory,[heap],GRAPH_RESERVE_BEGIN,20238336,,,20238336,20447232,0x2adbc28000
0x3e92d59000,vbuf,Cannot allocate memory,,GRAPH_RESERVE_BEGIN,5073756160,,,5073756160,5170954240,0x3d5e9f1000
0x3fbc804000,vbuf,Cannot allocate memory,/home/eugen/DeepSeek-V2-Lite.IQ1_S.vbuf,GRAPH_RESERVE_BEGIN,2718887936,,,2718887936,4993335296,0x3e92e00000
0x2adcfa8000,vbuf,Cannot allocate memory,[heap],GRAPH_RESERVE_END,20238336,,,20238336,20447232,0x2adbc28000
0x3e92d59000,vbuf,Cannot allocate memory,,GRAPH_RESERVE_END,5077528576,,,5077528576,5182152704,0x3d5df43000
0x3fbc804000,vbuf,Cannot allocate memory,/home/eugen/DeepSeek-V2-Lite.IQ1_S.vbuf,GRAPH_RESERVE_END,2718887936,,,2718887936,4993335296,0x3e92e00000
0x2adcfa8000,vbuf,Cannot allocate memory,[heap],CONTEXT_CREATE_END,20238336,,,20238336,20447232,0x2adbc28000
0x3e92d59000,vbuf,Cannot allocate memory,,CONTEXT_CREATE_END,5077528576,,,5077528576,5182152704,0x3d5df43000
0x3fbc804000,vbuf,Cannot allocate memory,/home/eugen/DeepSeek-V2-Lite.IQ1_S.vbuf,CONTEXT_CREATE_END,2676682752,,,2676682752,4993335296,0x3e92e00000
0x2adcfa8000,vbuf,Cannot allocate memory,[heap],EXECUTION_READY,20238336,,,20238336,20447232,0x2adbc28000
0x3d64437000,vbuf,Cannot allocate memory,,EXECUTION_READY,20480,,,20480,63164416,0x3d607fa000
0x3e92d59000,vbuf,Cannot allocate memory,,EXECUTION_READY,5071208448,,,5071208448,5073772544,0x3d6469f000
0x3fbc804000,vbuf,Cannot allocate memory,/home/eugen/DeepSeek-V2-Lite.IQ1_S.vbuf,EXECUTION_READY,2676682752,,,2676682752,4993335296,0x3e92e00000
0x2adcfa8000,vbuf,Cannot allocate memory,[heap],PROMPT_EVAL_BEGIN,20238336,,,20238336,20447232,0x2adbc28000
0x3fbc804000,vbuf,Cannot allocate memory,/home/eugen/DeepSeek-V2-Lite.IQ1_S.vbuf,PROMPT_EVAL_BEGIN,2676682752,,,2676682752,4993335296,0x3e92e00000
0x2adcfa8000,vbuf,Cannot allocate memory,[heap],PROMPT_EVAL_END,20238336,,,20238336,20447232,0x2adbc28000
0x3fbc804000,vbuf,Cannot allocate memory,/home/eugen/DeepSeek-V2-Lite.IQ1_S.vbuf,PROMPT_EVAL_END,2676682752,,,2676682752,4993335296,0x3e92e00000
0x2adcfa8000,vbuf,Cannot allocate memory,[heap],FIRST_DECODE_BEGIN,20238336,,,20238336,20447232,0x2adbc28000
0x3fbc804000,vbuf,Cannot allocate memory,/home/eugen/DeepSeek-V2-Lite.IQ1_S.vbuf,FIRST_DECODE_BEGIN,2676682752,,,2676682752,4993335296,0x3e92e00000
0x2adcfa8000,vbuf,Cannot allocate memory,[heap],FIRST_DECODE_END,20238336,,,20238336,20447232,0x2adbc28000
0x3fbc804000,vbuf,Cannot allocate memory,/home/eugen/DeepSeek-V2-Lite.IQ1_S.vbuf,FIRST_DECODE_END,2676682752,,,2676682752,4993335296,0x3e92e00000
0x2adcfa8000,vbuf,Cannot allocate memory,[heap],FIRST_TOKEN,20238336,,,20238336,20447232,0x2adbc28000
0x3fbc804000,vbuf,Cannot allocate memory,/home/eugen/DeepSeek-V2-Lite.IQ1_S.vbuf,FIRST_TOKEN,2676682752,,,2676682752,4993335296,0x3e92e00000
